OFFICIAL_NAME,COUNTY_NAME,OFFICIAL_SIZE_VALUE,OFFICIAL_MAX_DEPTH_VALUE,PLSS,WBIC
Big Round Lake,Polk,1013.7,17,T35N R16W S24 NW NW,2627400
Big Saint Germain Lake,Vilas,1621.72,42,T40N R8E S30 NE SW,1591100
Big Sand Lake,Burnett,1433.88,55,T39N R15W S32 NW NE,2676800
Big Sand Lake,Vilas,1427.46,56,T41N R12E S9 NE SW,1602600
Big Stone Lake,Oneida,606.77,57,T38N R11E S3 NW NE,1612200
Big Trade Lake,Burnett,327.3,39,T37N R18W S20 SW SW,2638700
Big Twin Lake,Chippewa,5.32,43,T32N R7W S29 NW NW,1835400
Big Twin Lake,Langlade,66.15,25,T33N R13E S7 SE NW,182200
Bills Lake,Vilas,70.17,25,T40N R4E S22 NW NW,1835500
Billy Boy Flowage,Sawyer,71.39,7,T39N R8W S19 SE SW,2389700
Birch Island Lake,Burnett,768.03,13,T40N R14W S18 SW SE,2453500
Birch Lake,Oconto,2.58,15,T33N R16E S26 NW NE,418600
Birch Lake,Sawyer,364,73,T37N R10W S25 NW SW,2113000
Birch Lake,Taylor,10.67,15,T31N R2W S23 SE SW,1759400
Birch Lake,Bayfield,7.66,15,T43N R6W S31 SE NW,2453600
Birch Lake,Vilas,506.21,45,T43N R5E S10 NE SE,2311100
Birch Lake,Forest,466.31,75,T36N R15E S29 SW SE,555500
Birch Lake,Washburn,364,73,T37N R10W S25 NW SW,2113000
Birch Lake,Bayfield,128.88,8,T44N R9W S4 SE SE,2743200
Birch Lake,Oneida,197.51,27,T38N R7E S31 SW SE,1523800
Bird Lake,Oneida,97.33,40,T38N R7E S7 NW SE,972000
Bisanabi Lake,Racine,15.51,8,T4N R20E S18 SW NE,740300
Bishop Lake,Forest,287.91,12,T35N R12E S30 SE NE,392100
Bismarck Lake,Bayfield,59.29,13,T47N R8W S19 SE SE,2876600
Black Brook Flowage,Polk,69.29,23,T32N R16W S18 NW NE,2621900
Black Dan Lake,Sawyer,120.88,37,T39N R5W S1 NE SW,2381900
Black Lake,Chippewa,2.84,31,T31N R8W S13 NW NE,2179600
Black Lake,Douglas,82.1,4,T45N R15W S19 NE NW,2841200
Black Lake,Sawyer,133.22,17,T41N R5W S36 SE SW,2401300
Black Lake,Ashland,133.22,17,T41N R5W S36 SE SW,2401300
Black Oak Lake,Vilas,563.8,85,T43N R9E S36 SE SE,1630100
Black Oak Lake,Langlade,55.59,34,T33N R10E S35 NW SW,1447200
Black River Flowage 1610,Jackson,198,34,T21N R4W S15 SE NE,1708800
Blackhawk Lake,Iowa,212.5,42,T6N R2E S5 NE SW,1239400
Bladder Lake,Bayfield,84.06,35,T48N R7W S31 SW NW,2756200
Blaisdell Lake,Sawyer,341.06,19,T40N R4W S19 NE NE,2402200
Blass Lake,Sauk,32.76,16,T13N R6E S20 NE NW,1295800
Blockhouse Lake,Price,241.06,8,T40N R1E S15 NE NE,2256800
Blom Lake,Polk,212.08,13,T37N R17W S4 NW NW,2651300
Blue Gill Lake,Sawyer,27.45,23,T40N R5W S15 SE SE,1835600
Blue Lake,Oneida,440.52,49,T39N R6E S29 NW SE,1538600
Blue Mountain Lake,Waupaca,8.17,8,T24N R12E S13 SW NE,182400
Blue Spring Lake,Jefferson,135.55,27,T5N R16E S28 SE SW,819800
Blueberry Lake,Sawyer,292,29,T39N R7W S9 NW SW,1835700
Bluegill Lake,Douglas,20.09,68,T43N R12W S15 NW SW,2454100
Bob Lake,Chippewa,95.58,68,T31N R8W S23 NE NE,2178400
Boelter Lake,Portage,22.61,8,T22N R10E S30 SE SW,182700
Bog Lake,Rusk,38.17,9,T33N R8W S3 NE SW,2356800
Bog Lake,Bayfield,10.82,15,T46N R8W S2 SE NE,2902100
Bogbrook Lake,Forest,51.75,10,T34N R14E S30 NE SW,376300
Bohner Lake,Racine,135.31,30,T2N R19E S17 SW NW,750800
Boiler Lake,Chippewa,5.29,15,T32N R7W S29 SE SW,2345600
Bolger Lake,Oneida,115.03,45,T39N R6E S27 NE SE,973000
Boltonville Millpond,Washington,8.58,9.5,T12N R20E S9 NE NE,29000
Bond Lake,Douglas,278.84,67,T43N R12W S29 SE SE,2693700
Bone Lake,Polk,1666.59,43,T35N R16W S20 SE NW,2628100
Boner Lake,Burnett,78.15,15,T40N R15W S24 NW NW,2454500
Bony Lake,Bayfield,190.21,55,T44N R9W S9 NW NW,2742500
Boom Lake,Oneida,364.76,30,T37N R9E S31 SW NE,1580200
Boos Lake,Sawyer,37.38,20,T42N R5W S28 SW NE,2425000
Boot Lake,Oconto,230.15,38,T32N R15E S9 SW NE,418700
Boot Lake,Rusk,87.84,44,T33N R7W S17 SE NE,1836700
Boot Lake,Iron,177.7,16,T41N R3E S16 NW NW,2297800
Boot Lake,Chippewa,31.33,20,T30N R8W S10 SE NE,1836600
Boot Lake,Calumet,10.51,16,T19N R21E S6 SW NW,77600
Boot Lake,Vilas,285.82,15,T40N R9E S2 SW SW,1619100
Boot Lake,Manitowoc,10.51,16,T19N R21E S6 SW NW,77600
Booth Lake,Walworth,118.02,24,T4N R17E S13 SE SE,740400
Booth Lake,Oneida,204.14,34,T39N R5E S6 SE SE,1537800
Boris Lake,Bayfield,2.58,20,T47N R7W S35 NW SW,2756600
Bose Lake,Forest,29.38,29,T40N R12E S23 SW NW,584500
Boulder Lake,Oconto,370.26,11,T31N R15E S21 NE SW,491800
Boulder Lake,Vilas,515.62,23,T42N R6E S13 NW SE,2338300
Boulder Lake,Langlade,370.26,11,T31N R15E S21 NE SW,491800
Boundary Lake,Marinette,35.69,19,T32N R17E S12 SE SE,499000
Boundary Lake,Oconto,35.69,19,T32N R17E S12 SE SE,499000
Bowler Pond,Shawano,.42,6,T28N R12E S36 NE SE,303600
Bradley Lake,Forest,47.81,25,T35N R13E S26 NE NE,182900
Bradley Lake,Chippewa,9.68,37,T32N R8W S10 SE SW,2346000
Bragonier Lake,Vilas,42.49,28,T40N R9E S31 NE SE,973500
Brandenburg Lake,Dane,41.8,6,T8N R8E S6 SW NE,774700
Brandy Lake,Vilas,112.77,44,T40N R6E S35 SE NW,1541300
Breitzman Lake,Douglas,13.77,20,T46N R15W S23 NW NW,2756700
Brekk Lake,Waupaca,45.73,25,T23N R11E S7 NE NW,183000
Bridge Lake,Oneida,418.88,15,T36N R6E S35 SE SE,1516800
Bridge Lake,Lincoln,418.88,15,T36N R6E S35 SE SE,1516800
Briggs Lake,Burnett,53.62,13,T41N R15W S29 SW NE,2671900
Brillion Quarry,Calumet,4,13,T20N R20E S24 SW SW,68200
Brock Lake,Racine,11.26,12,T3N R19E S16 SE SW,759400
Brown Deer Park Pond,Milwaukee,5.15,6,T8N R21E S13 NE SW,19900
Brown Lake,Oneida,91.63,23,T38N R8E S16 SE NE,973700
Brown Lake,Waukesha,12.82,15,T5N R18E S30 SW SE,768200
Browns Lake,Racine,397.28,44,T3N R19E S34 NW NE,750300
Bruce Lake,Rusk,34.73,6,T34N R7W S7 NE SW,2360700
Brule River Flowage ,Florence,297,64,T40N R18E S14 NW NW,704400
Buck Lake,Burnett,66.42,6,T39N R15W S26 SE NW,2455500
Buck Lake,Barron,70.58,20,T36N R13W S34 NW NW,2100100
Bucks Lake,Rusk,17.24,18,T36N R9W S26 NW SW,2111700
Buckskin Lake,Oneida,641.59,22,T39N R4E S11 NE NE,2272600
Buckskin Lake,Vilas,641.59,22,T39N R4E S11 NE NE,2272600
